datetime_utc,open,high,low,close,volume
2026-03-01 00:00:00+00:00,66973.26,67029.25,66967.18,66998.58,9.19306
2026-03-01 00:01:00+00:00,66998.58,67006.78,66963.97,66967.55,29.24509
2026-03-01 00:02:00+00:00,66967.55,67007.68,66953.63,66976.01,26.4869
2026-03-01 00:03:00+00:00,66976.0,67057.1,66971.53,67040.06,52.99295
2026-03-01 00:04:00+00:00,67040.06,67121.8,67037.78,67038.82,13.23804
2026-03-01 00:05:00+00:00,67038.83,67050.06,67013.99,67047.04,31.20648
2026-03-01 00:06:00+00:00,67047.03,67047.05,66895.94,66907.61,17.33638
2026-03-01 00:07:00+00:00,66907.62,66968.53,66902.85,66903.86,10.43697
2026-03-01 00:08:00+00:00,66903.86,66905.2,66853.66,66867.15,10.48191
2026-03-01 00:09:00+00:00,66867.15,66867.16,66812.18,66832.48,5.33929
2026-03-01 00:10:00+00:00,66832.47,66859.46,66827.99,66845.01,5.90776
2026-03-01 00:11:00+00:00,66845.0,66894.0,66845.0,66889.99,6.15587
2026-03-01 00:12:00+00:00,66889.99,66900.0,66869.35,66875.0,5.69866
2026-03-01 00:13:00+00:00,66875.0,66883.39,66845.0,66845.0,7.30132
2026-03-01 00:14:00+00:00,66845.0,66913.18,66845.0,66913.18,7.79566
2026-03-01 00:15:00+00:00,66913.17,66929.16,66904.79,66917.3,3.71223
2026-03-01 00:16:00+00:00,66917.3,66929.14,66894.49,66896.28,4.89604
2026-03-01 00:17:00+00:00,66896.27,66910.0,66896.27,66909.99,2.55322
2026-03-01 00:18:00+00:00,66909.99,66930.69,66885.27,66885.27,4.80549
2026-03-01 00:19:00+00:00,66885.28,66889.97,66847.12,66864.05,26.5047
2026-03-01 00:20:00+00:00,66864.04,66900.31,66864.04,66895.05,2.95548
2026-03-01 00:21:00+00:00,66895.06,66933.38,66895.05,66922.22,6.08329
2026-03-01 00:22:00+00:00,66922.23,66934.07,66903.46,66933.38,7.24779
2026-03-01 00:23:00+00:00,66933.39,67024.42,66933.39,67006.24,8.19735
2026-03-01 00:24:00+00:00,67006.24,67006.25,66946.62,66946.62,6.10029
2026-03-01 00:25:00+00:00,66946.62,66957.83,66833.22,66833.22,8.16151
2026-03-01 00:26:00+00:00,66833.22,66856.7,66820.14,66856.69,5.72687
2026-03-01 00:27:00+00:00,66856.7,66856.7,66771.79,66779.64,6.22463
2026-03-01 00:28:00+00:00,66779.63,66825.9,66766.24,66814.45,9.16368
2026-03-01 00:29:00+00:00,66814.45,66814.46,66778.32,66778.32,3.30039
2026-03-01 00:30:00+00:00,66778.32,66810.16,66778.32,66794.46,11.76157
2026-03-01 00:31:00+00:00,66794.47,66827.26,66794.46,66808.6,4.59348
2026-03-01 00:32:00+00:00,66808.6,66808.61,66704.95,66726.9,14.08305
2026-03-01 00:33:00+00:00,66727.01,66735.66,66708.96,66720.35,10.34076
2026-03-01 00:34:00+00:00,66720.36,66744.49,66720.35,66722.6,3.73924
2026-03-01 00:35:00+00:00,66722.61,66799.99,66722.61,66763.0,13.49988
2026-03-01 00:36:00+00:00,66762.99,66800.0,66762.99,66800.0,6.24462
2026-03-01 00:37:00+00:00,66800.0,66813.36,66771.78,66771.78,10.30735
2026-03-01 00:38:00+00:00,66771.79,66795.12,66769.19,66794.74,5.59094
2026-03-01 00:39:00+00:00,66794.74,66794.75,66738.92,66738.92,4.44052
2026-03-01 00:40:00+00:00,66738.93,66764.67,66738.93,66755.96,2.7912
2026-03-01 00:41:00+00:00,66755.97,66760.2,66643.8,66659.74,12.29786
