datetime_utc,open,high,low,close,volume
2026-03-01 00:00:00+00:00,5369.79,5372.83,5369.79,5372.27,44.9766
2026-03-01 00:01:00+00:00,5372.27,5372.27,5369.76,5369.76,4.7706
2026-03-01 00:02:00+00:00,5369.77,5369.85,5369.76,5369.76,4.2409
2026-03-01 00:03:00+00:00,5369.76,5369.77,5369.51,5369.52,7.7273
2026-03-01 00:04:00+00:00,5369.52,5369.52,5369.2,5369.2,11.1307
2026-03-01 00:05:00+00:00,5369.21,5369.21,5369.2,5369.21,2.1533
2026-03-01 00:06:00+00:00,5369.2,5369.2,5368.37,5368.37,3.0615
2026-03-01 00:07:00+00:00,5368.38,5368.38,5368.22,5368.23,2.3045
2026-03-01 00:08:00+00:00,5368.22,5368.74,5368.22,5368.74,1.5085
2026-03-01 00:09:00+00:00,5368.73,5368.74,5368.7,5368.7,0.7593
2026-03-01 00:10:00+00:00,5368.71,5368.71,5368.22,5368.23,2.7614
2026-03-01 00:11:00+00:00,5368.22,5368.23,5368.22,5368.22,0.3832
2026-03-01 00:12:00+00:00,5368.23,5368.63,5368.22,5368.63,3.2432
2026-03-01 00:13:00+00:00,5368.63,5368.65,5368.62,5368.65,0.8266
2026-03-01 00:14:00+00:00,5368.64,5368.65,5364.0,5365.96,46.0395
2026-03-01 00:15:00+00:00,5365.95,5365.95,5365.1,5365.1,5.9052
2026-03-01 00:16:00+00:00,5365.11,5365.11,5365.1,5365.1,4.1014
2026-03-01 00:17:00+00:00,5365.11,5365.11,5364.5,5364.51,21.2763
2026-03-01 00:18:00+00:00,5364.51,5367.0,5364.51,5367.0,9.9609
2026-03-01 00:19:00+00:00,5367.0,5368.38,5366.99,5368.37,4.8152
2026-03-01 00:20:00+00:00,5368.38,5368.92,5368.37,5368.37,5.306
2026-03-01 00:21:00+00:00,5368.37,5369.27,5368.37,5369.27,2.3962
2026-03-01 00:22:00+00:00,5369.52,5370.05,5369.52,5370.05,3.1969
2026-03-01 00:23:00+00:00,5370.05,5372.38,5370.04,5372.38,5.2964
2026-03-01 00:24:00+00:00,5372.39,5372.4,5372.17,5372.35,8.1382
2026-03-01 00:25:00+00:00,5372.34,5372.53,5372.34,5372.53,2.2232
2026-03-01 00:26:00+00:00,5372.52,5376.54,5372.52,5376.54,14.2711
2026-03-01 00:27:00+00:00,5376.54,5376.54,5376.53,5376.54,1.4074
2026-03-01 00:28:00+00:00,5376.54,5378.69,5376.54,5378.68,8.2485
2026-03-01 00:29:00+00:00,5378.68,5383.35,5378.68,5383.35,4.6854
2026-03-01 00:30:00+00:00,5383.35,5384.95,5383.34,5383.36,11.0362
2026-03-01 00:31:00+00:00,5383.35,5383.9,5383.35,5383.9,4.1992
2026-03-01 00:32:00+00:00,5383.9,5385.72,5383.83,5383.83,14.1967
2026-03-01 00:33:00+00:00,5383.83,5385.14,5383.83,5384.08,3.024
2026-03-01 00:34:00+00:00,5384.09,5384.09,5384.08,5384.09,0.6785
2026-03-01 00:35:00+00:00,5384.08,5384.9,5384.08,5384.32,3.789
2026-03-01 00:36:00+00:00,5384.32,5384.35,5384.31,5384.35,1.6397
2026-03-01 00:37:00+00:00,5384.34,5384.85,5384.34,5384.85,0.4689
2026-03-01 00:38:00+00:00,5384.84,5384.84,5384.0,5384.01,3.3644
2026-03-01 00:39:00+00:00,5384.0,5384.94,5382.69,5384.94,5.2437
2026-03-01 00:40:00+00:00,5384.95,5385.22,5384.94,5385.22,0.8219
2026-03-01 00:41:00+00:00,5385.37,5386.25,5384.68,5386.25,3.7971
2026-03-01 00:42:00+00:00,5386.33,5387.59,5386.33,5387.59,1.8239
2026-03-01 00:43:00+00:00,5387.46,5389.9,5387.46,5388.84,22.5513
2026-03-01 00:44:00+00:00,5388.85,5389.81,5388.85,5389.81,2.3399
2026-03-01 00:45:00+00:00,5389.81,5390.24,5389.81,5390.24,6.0697
2026-03-01 00:46:00+00:00,5390.23,5390.23,5386.11,5386.39,38.7711
2026-03-01 00:47:00+00:00,5386.4,5388.0,5386.4,5387.99,2.2636
2026-03-01 00:48:00+00:00,5387.99,5387.99,5384.6,5384.6,6.4013
2026-03-01 00:49:00+00:00,5384.34,5384.34,5379.92,5380.63,17.1238
2026-03-01 00:50:00+00:00,5380.6,5382.26,5379.93,5382.25,2.6552
2026-03-01 00:51:00+00:00,5381.49,5381.49,5379.92,5379.94,5.7253
